SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
239,DIOR,BOIS DE URGENT,"Bergamot, Juniper","Iris, Incense, Myrrh","Amber, Musk, Woody Notes","Bois De Urgent by Dior is a captivating fragrance that opens with bergamot, juniper, creating a fresh and inviting first impression. The heart reveals iris, incense, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
240,DIOR,GRIS MONTAGE,"Bergamot, Rose","Patchouli, Jasmine, Cedar","Oakmoss, Amber, Sandalwood","Gris Montage by Dior is a captivating fragrance that opens with bergamot, rose, creating a fresh and inviting first impression. The heart reveals patchouli, jasmine, adding depth and sophistication, while the base of oakmoss, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
241,DIOR,MISS DIOR BLOOMING BOUQUET,"Mandarin, Bergamot","Peony, Rose, Apricot","Musk, White Woods, Sandalwood","Miss Dior Blooming Bouquet by Dior is a captivating fragrance that opens with mandarin, bergamot, creating a fresh and inviting first impression. The heart reveals peony, rose, adding depth and sophistication, while the base of musk, white woods leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
242,DIOR,JASMIN DES ANGES PVT COL,"Bergamot, Apricot","Jasmine, Peach, Rose","Musk, Vanilla, Amber","Jasmin Des Anges Pvt Col by Dior is a captivating fragrance that opens with bergamot, apricot, creating a fresh and inviting first impression. The heart reveals jasmine, peach, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
243,DIOR,MIDNIGHT POISION,"Bergamot, Mandarin","Rose, Patchouli, Jasmine","Amber, Vanilla, Musk","Midnight Poision by Dior is a captivating fragrance that opens with bergamot, mandarin, creating a fresh and inviting first impression. The heart reveals rose, patchouli, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
244,DIOR,HYPNOTIC POISION,"Almond, Coconut, Plum","Jasmine, Rosewood, Tuberose","Vanilla, Sandalwood, Musk","Hypnotic Poision by Dior is a captivating fragrance that opens with almond, coconut, creating a fresh and inviting first impression. The heart reveals jasmine, rosewood, adding depth and sophistication, while the base of vanilla, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
245,DIOR,LEATHER OUDH,"Cardamom, Clove","Leather, Oud, Patchouli","Amber, Birch, Sandalwood","Leather Oudh by Dior is a captivating fragrance that opens with cardamom, clove, creating a fresh and inviting first impression. The heart reveals leather, oud, adding depth and sophistication, while the base of amber, birch leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
246,DIOR,PATCHOULI IMPERIAL,"Coriander, Citrus","Patchouli, Rose, Sandalwood","Amber, Vanilla, Musk","Patchouli Imperial by Dior is a captivating fragrance that opens with coriander, citrus, creating a fresh and inviting first impression. The heart reveals patchouli, rose, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
247,DIOR,JOY,"Bergamot, Mandarin","Jasmine, Rose, Peach","Musk, Sandalwood, Cedarwood","Joy by Dior is a captivating fragrance that opens with bergamot, mandarin, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
248,DIOR,JADORE,"Bergamot, Pear","Jasmine, Rose, Ylang-Ylang","Vanilla, Musk, Cedarwood","Jadore by Dior is a captivating fragrance that opens with bergamot, pear, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
249,DIOR,POISON GIRL,"Bitter Orange, Lemon","Rose, Orange Blossom","Vanilla, Tonka Bean, Almond","Poison Girl by Dior is a captivating fragrance that opens with bitter orange, lemon, creating a fresh and inviting first impression. The heart reveals rose, orange blossom, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
250,DIOR,DIOR HOMME SPORT,"Lemon, Grapefruit, Bergamot","Pink Pepper, Ginger, Elemi","Vetiver, Cedarwood, Sandalwood","Dior Homme Sport by Dior is a captivating fragrance that opens with lemon, grapefruit, creating a fresh and inviting first impression. The heart reveals pink pepper, ginger, adding depth and sophistication, while the base of vetiver, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
251,DIOR,HOMME PARFUM 2014,"Orange, Iris","Leather, Rose","Sandalwood, Oud, Ambrette","Homme Parfum 2014 by Dior is a captivating fragrance that opens with orange, iris, creating a fresh and inviting first impression. The heart reveals leather, rose, adding depth and sophistication, while the base of sandalwood, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
252,DIPTIQUE,EAU ROSE L,"Lychee, Bergamot","Rose, Geranium, Jasmine","Musk, Cedarwood, Honey","Eau Rose L by Diptique is a captivating fragrance that opens with lychee, bergamot, creating a fresh and inviting first impression. The heart reveals rose, geranium, adding depth and sophistication, while the base of musk, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
253,DIPTYQUE,ILIO,"Bergamot, Prickly Pear","Jasmine, Iris","Amber, Musk, Sandalwood","Ilio by Diptyque is a captivating fragrance that opens with bergamot, prickly pear, creating a fresh and inviting first impression. The heart reveals jasmine, iris, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
254,DIPTYQUE,TAMDAO,"Cypress, Myrtle","Sandalwood, Cedarwood, Spices","Amber, Musk, Woody Notes","Tamdao by Diptyque is a captivating fragrance that opens with cypress, myrtle, creating a fresh and inviting first impression. The heart reveals sandalwood, cedarwood, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
255,DIPTYQUE,L'OMBRE DANS,"Bergamot, Blackcurrant","Rose, Green Notes, Jasmine","Musk, Amber, Woody Notes","L'Ombre Dans by Diptyque is a captivating fragrance that opens with bergamot, blackcurrant, creating a fresh and inviting first impression. The heart reveals rose, green notes, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
256,DIPTYQUE,TAMDAO EDP,"Cypress, Rose","Sandalwood, Cedarwood, Amber","Musk, Spices, Woody Notes","Tamdao Edp by Diptyque is a captivating fragrance that opens with cypress, rose, creating a fresh and inviting first impression. The heart reveals sandalwood, cedarwood, adding depth and sophistication, while the base of musk, spices leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
257,DIPTYQUE,OUD PALAO,"Rose, Raspberry","Oud, Patchouli, Tobacco","Sandalwood, Amber, Musk","Oud Palao by Diptyque is a captivating fragrance that opens with rose, raspberry, creating a fresh and inviting first impression. The heart reveals oud, patchouli, adding depth and sophistication, while the base of sandalwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
258,DKNY,BE DELICIOUS,"Apple, Cucumber, Grapefruit","Magnolia, Rose, Tuberose","Sandalwood, Amber, Musk","Be Delicious by Dkny is a captivating fragrance that opens with apple, cucumber, creating a fresh and inviting first impression. The heart reveals magnolia, rose, adding depth and sophistication, while the base of sandalwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
259,DOLCE & GABBANA,MY DEVOTION EDP INTENSE,"Citrus, Orange Blossom","Vanilla, Jasmine, Almond","Tonka Bean, Amber, Musk","My Devotion Edp Intense by Dolce & Gabbana is a captivating fragrance that opens with citrus, orange blossom, creating a fresh and inviting first impression. The heart reveals vanilla, jasmine, adding depth and sophistication, while the base of tonka bean, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
260,DOLCE & GABBANA,DEVOTION POUR HOMME PARFUM,"Lemon, Bergamot","Coffee, Orange Blossom","Patchouli, Vanilla, Amber","Devotion Pour Homme Parfum by Dolce & Gabbana is a captivating fragrance that opens with lemon, bergamot, creating a fresh and inviting first impression. The heart reveals coffee, orange blossom, adding depth and sophistication, while the base of patchouli, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
261,DOLCE & GABBANA,THE ONE GOLD FOR MEN,"Blood Orange, Ginger, Lemon","Clary Sage, Cardamom, Geranium","Patchouli, Amber, Vetiver","The One Gold For Men by Dolce & Gabbana is a captivating fragrance that opens with blood orange, ginger, creating a fresh and inviting first impression. The heart reveals clary sage, cardamom, adding depth and sophistication, while the base of patchouli, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
262,DOLCE & GABBANA,KING,"Citrus, Juniper, Blood Orange","Geranium, Clary Sage, Lavender","Cedarwood, Vetiver, Patchouli","King by Dolce & Gabbana is a captivating fragrance that opens with citrus, juniper, creating a fresh and inviting first impression. The heart reveals geranium, clary sage, adding depth and sophistication, while the base of cedarwood, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
263,DOLCE & GABBANA,D&G THE ONE INTENSE,"Neroli, Cypress","Cashmere Wood, Benzoin, Clary Sage","Leather, Patchouli, Amber","D&G The One Intense by Dolce & Gabbana is a captivating fragrance that opens with neroli, cypress, creating a fresh and inviting first impression. The heart reveals cashmere wood, benzoin, adding depth and sophistication, while the base of leather, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
264,DOLCE & GABBANA,THE ONLY 1,"Violet, Bergamot","Coffee, Iris, Rose","Vanilla, Patchouli, Caramel","The Only 1 by Dolce & Gabbana is a captivating fragrance that opens with violet, bergamot, creating a fresh and inviting first impression. The heart reveals coffee, iris, adding depth and sophistication, while the base of vanilla, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
