SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION
212,DAVIDOFF,LEATHER BLEND,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Leather Blend by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
213,DAVIDOFF,AGARBLEND,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Agarblend by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
214,DAVIDOFF,CHAMPION ENERGY,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Champion Energy by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
215,DAVIDOFF,THE GAME,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover The Game by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
216,DAVIDOFF,CHAMPION MEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Champion Men by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
217,DAVIDOFF,COOLWATER GAME,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Coolwater Game by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
218,DAVIDOFF,COOLWATER NIGHT DIVE,"Apple, Bergamot","Cinnamon, Lavender","Vanilla, Tonka Bean, Amber","Discover Coolwater Night Dive by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of cinnamon and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
219,DAVIDOFF,COOLWATER SEA ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Coolwater Sea Rose by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
220,DAVIDOFF,COOL WATER MEN INTENSE,"Grapefruit, Pepper","Lavender, Cardamom","Amber, Vetiver, Woods","Discover Cool Water Men Intense by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
221,DAVIDOFF,COOL WATER WOMEN INTENSE,"Grapefruit, Pepper","Lavender, Cardamom","Amber, Vetiver, Woods","Discover Cool Water Women Intense by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
222,DIOR,BOIS TALISMAN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bois Talisman by Dior, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
223,DIOR,ROSE KABUKI,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose Kabuki by Dior, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
224,DIOR,BALLADE SAUVAGE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Ballade Sauvage by Dior, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
225,DIOR,NEW LOOK 1974,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover New Look 1974 by Dior, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
226,DIOR,ROSE GIPSY,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose Gipsy by Dior, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
227,DIOR,SAUVAGE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Sauvage by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
228,DIOR,SAUVAGE ELIXIR,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Sauvage Elixir by Dior, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
229,DIOR,PURPLE OUDH,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Purple Oudh by Dior, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
230,DIOR,TOBACOLOUR,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Tobacolour by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
231,DIOR,OUSH ISPAHAN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Oush Ispahan by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
232,DIOR,AMBER NUIT,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Amber Nuit by Dior, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
233,DIOR,DIOR HOMME,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Dior Homme by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
234,DIOR,DIOR HOMME INTENSE,"Grapefruit, Pepper","Lavender, Cardamom","Amber, Vetiver, Woods","Discover Dior Homme Intense by Dior, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
235,DIOR,PURE POISON,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Pure Poison by Dior, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
236,DIOR,FEHRENHIET,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Fehrenhiet by Dior, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
237,DIOR,DIOR ADDICT WOMEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Dior Addict Women by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
238,DIOR,POISON W,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Poison W by Dior, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
239,DIOR,BOIS DE URGENT,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bois De Urgent by Dior, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
240,DIOR,GRIS MONTAGE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Gris Montage by Dior, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
